,video_title
148,뉴진스 보고 표정관리 안되는 배우들 ㅋㅋㅋ
149,
150,
151,또 뉴진스 ‘안무 훔친' 아일릿..
152,혜인 시그니처 포즈를 따라한 아일릿 안무?
153,불난 뉴진스 상황에 부채질할 뻔한 세븐틴 멤버 #shorts
154,NewJeans(뉴진스) - Super Shy @인기가요 inkigayo 20230716
155,결국 헤어지게 될 것 같다는 뉴진스와 민희진..ㄷㄷ
156,하이브 아니고 어도어라고 말하는 민지 혜인
157,결국...이별할 것 같다는 뉴진스와 민희진‼️
158,[뉴진스] 해린이 데뷔 14일만에 걸그룹 올타임 레전드 찍은 장면 (업스케일링)
159,
160,
161,뉴진스 (NewJeans) _ OMG | 1theKILLPO | 원더킬포 | 킬포인트 | 퍼포먼스 | Performance | 4K | 민지 하니 다니엘 해린 혜인
162,#playlist | 그냥 뉴진스가 좋아서요
163,[뉴진스] 타격감 좋은 하니 놀리기는 못참지
164,'이런 것까지 똑같네' 아일릿과 뉴진스
165,알고보면 소름돋는 뉴진스 데뷔 과정 ㄷㄷ
166,민희진 기자회견에 대한 답변
167,
168,
169,NewJeans 'Cool With You' Lyrics (뉴진스 Cool With You 가사) (Color Coded Lyrics)
170,뉴진스 1년6개월 휴가설에 난리난 전세계 해외팬들 반응
171,NewJeans 'Bubble Gum' Lyrics (뉴진스 Bubble Gum 가사) (Color Coded Lyrics)
172,'방시혁 유치해' 뉴진스 부모님의 충격 폭로
173,[뉴진스] 자신이 스포한줄 알았던 혜인이
174,컴백 예고 뉴진스! 수상했다는 민지의 동작ㅋㅋㅋ #newjeans #minji
175,아일릿이 말아주는 뉴진스 어텐션 attention
176,
177,
178,[뉴진스] 모지혜 찐광기 시절 #뉴진스 #newjeans #다니엘
179,'뇌절vs이해간다' 뉴진스 부모님의 지적
180,"‘웃지 못하는’ 뉴진스 민지, 민희진 하이브 갈등 속 행사 소화 NewJeans MINJI [O! STAR 숏폼]"
181,하이브 아니고 어도어라고 말하는 민지 혜인
182,결국...이별할 것 같다는 뉴진스와 민희진‼️
183,Hype 'V'oy with #BTS #V 🧸#NewJeans #뉴진스 #NewJeans_HypeBoy#Time_to_NewJeans
184,
185,
186,NewJeans(뉴진스) - ETA @인기가요 inkigayo 20230723
187,뉴진스 사태로 아리아나 그란데가 하이브 탈주했던 이유 미국에서 재조명…
188,뉴진스 지원안해줬다는 하이브
189,아일릿이 말아주는 뉴진스 어텐션 attention
190,Oh my oh my God 예상했어 나🫢 #NewJeans #뉴진스#NewJeans_OMG #NewJeans_Ditto#Year_of_NewJeans
191,AAA 2023 intro 🔥 ☄. *. ⋆ #NewJeans #뉴진스#NewJeans_NJWMX #NewJeans_of_Winter #Year_of_NewJeans
192,
193,
194,NewJeans (뉴진스) 'Hype Boy (하입보이)' 가사 (Color Coded Lyrics)
195,[Full Album] NewJeans (뉴진스) - Get Up
196,"뉴진스 진짜 문제는 7월부터…미 언론도 ""통제력 잃을 것"" #뉴스다 / JTBC News"
197,🚨🚨🚨#NewJeans #뉴진스#NewJeans_is_Everywhere
198,NewJeans at first sight 🫣 첫눈에 뉴진스#NewJeans #뉴진스#Year_of_NewJeans #LeeumMuseumofArt
199,뉴진스 부모님들이 방시혁에게 보낸 편지?
200,"내 맘이 끝이 없는 걸 I know, I know🦀 #NewJeans #뉴진스 #NewJeans_OMG #NewJeans_Ditto #Year_of_NewJeans"
201,
202,
203,New Jeans Full Album Playlist
204,민희진 (MINHEEJIN) '기자회견 FreeStyle' Official MV [ENG SUB]
205,[뉴진스] 시무륵한 하니ㅠㅠㅠ
206,[4K] NewJeans (뉴진스) Attention (어텐션) 교차편집 (Stage Mix)
207,뉴진스 민지 사과 어떻게 생각하세요
208,알고 보니 각별한 사이라는 BTS 뷔와 민희진?
209,뉴진스 막내 혜인이 초6 시절
210,하이브 떠난 민희진에게 벌어질 일들
211,
212,
213,[드러나는 진실 민희진의 거짓말 또 거짓말] #민희진 #뉴진스 #하이브
214,(속보) 민희진 뉴진스 대표 사임?! 하이브 통수치다 딱 걸렸다는 근황 ㄷㄷㄷ
215,AAA 2023 intro 🔥 ☄. *. ⋆ #NewJeans #뉴진스#NewJeans_NJWMX #NewJeans_of_Winter #Year_of_NewJeans
216,방시혁이 뉴진스 '인사 안 받아준' 이유
217,컴백 예고 뉴진스! 수상했다는 민지의 동작ㅋㅋㅋ #newjeans #minji
218,
219,
220,"뉴진스, ‘Hype boy & Attention’ 축하공연 [제43회 청룡영화상 시상식] | KBS 221125 방송"
221,[단독샷캠4K] 뉴진스 'Ditto' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 230115
222,NewJeans Attention Lyrics (뉴진스 Attention 가사) (Color Coded Lyrics)
223,뉴진스 코카콜라 새로운 CF #Hanni #ハニ #NewJeans
224,뉴진스도 표절이면 완전 나가린데..
225,🚨🚨🚨#NewJeans #뉴진스#NewJeans_is_Everywhere
226,[이슈 직진] 민희진 해임되면 뉴진스가 전속계약 해지 요구할까? #shorts #뉴스7 | MBN 240426 방송
227,NewJeans at first sight 🫣 첫눈에 뉴진스#NewJeans #뉴진스#Year_of_NewJeans #LeeumMuseumofArt
228,
229,
230,Newjeans 뉴진스 - Bubble Gum (버블보이)
231,NewJeans 'Super Shy' Lyrics (뉴진스 Super Shy 가사) (Color Coded Lyrics)
232,[사건영상] 뉴진스-아일릿 비교 영상 얼마나 똑같길래? / 채널A
233,민지는 못말려🫥뉴진스 포닝
234,"뉴진스가 'Magnetic'을 커버한다면? (원곡: 아일릿, AI 커버)"
235,뉴진스 조롱한 것 같다는 아일릿 영상 #shorts
236,"데뷔부터 3월까지 뉴진스 멤버 인기순위 From our debut until now, who is the member of NewJeans? (22.8~24.3)(브랜드평판#민희진"
237,
238,
239,[NewJeans - Hype Boy] Hot Debut Stage | #엠카운트다운 EP.764 | Mnet 220804 방송
240,[4K] NewJeans (뉴진스) - Celebrity | IU’s Palette (아이유의 팔레트)
241,Hurry up don’t say maybe 🤫#NewJeans #뉴진스 #NewJeans_is_Everywhere
242,90년대 감성 가득! 뉴진스 수록곡 Bubble Gum 뮤비🎧
243,why you keep callin'? 💬 #NewJeans #뉴진스 #HYEIN #HAERIN #NewJeans_is_Everywhere
244,[뉴진스] 나는 완숙이야! 할명수 예고편! 🍳
245,
246,
247,'뉴진스 험담' 메시지까지 여과 없이…'폭로전' 된 경영권 갈등 / JTBC 뉴스룸
